title;cat;ext_id;url;publisher;scope;last_scan
Physics - Atomic Physics;physics.atom-ph;arxiv.physics.atom-ph;http://arxiv.org/list/physics.atom-ph/recent;arxiv;;
Physics - Atomic and Molecular Clusters;physics.atm-clus;arxiv.physics.atm-clus;http://arxiv.org/list/physics.atm-clus/recent;arxiv;;
Physics - Biological Physics;physics.bio-ph;arxiv.physics.bio-ph;http://arxiv.org/list/physics.bio-ph/recent;arxiv;;
Physics - Chemical Physics;physics.chem-ph;arxiv.physics.chem-ph;http://arxiv.org/list/physics.chem-ph/recent;arxiv;;
Physics - Classical Physics;physics.class-ph;arxiv.physics.class-ph;http://arxiv.org/list/physics.class-ph/recent;arxiv;;
Physics - Computational Physics;physics.comp-ph;arxiv.physics.comp-ph;http://arxiv.org/list/physics.comp-ph/recent;arxiv;;
"Physics - Data Analysis; Statistics and Probability";physics.data-an;arxiv.physics.data-an;http://arxiv.org/list/physics.data-an/recent;arxiv;;
Physics - Fluid Dynamics;physics.flu-dyn;arxiv.physics.flu-dyn;http://arxiv.org/list/physics.flu-dyn/recent;arxiv;;
Physics - General Physics;physics.gen-ph;arxiv.physics.gen-ph;http://arxiv.org/list/physics.gen-ph/recent;arxiv;;
Physics - Geophysics;physics.geo-ph;arxiv.physics.geo-ph;http://arxiv.org/list/physics.geo-ph/recent;arxiv;;
Physics - History of Physics;physics.hist-ph;arxiv.physics.hist-ph;http://arxiv.org/list/physics.hist-ph/recent;arxiv;;
Physics - Instrumentation and Detectors;physics.ins-det;arxiv.physics.ins-det;http://arxiv.org/list/physics.ins-det/recent;arxiv;;
Physics - Medical Physics;physics.med-ph;arxiv.physics.med-ph;http://arxiv.org/list/physics.med-ph/recent;arxiv;;
Physics - Optics;physics.optics;arxiv.physics.optics;http://arxiv.org/list/physics.optics/recent;arxiv;;
Physics - Physics Education;physics.ed-ph;arxiv.physics.ed-ph;http://arxiv.org/list/physics.ed-ph/recent;arxiv;;
Physics - Physics and Society;physics.soc-ph;arxiv.physics.soc-ph;http://arxiv.org/list/physics.soc-ph/recent;arxiv;;
Physics - Plasma Physics;physics.plasm-ph;arxiv.physics.plasm-ph;http://arxiv.org/list/physics.plasm-ph/recent;arxiv;;
Physics - Popular Physics;physics.pop-ph;arxiv.physics.pop-ph;http://arxiv.org/list/physics.pop-ph/recent;arxiv;;
Physics - Space Physics;physics.space-ph;arxiv.physics.space-ph;http://arxiv.org/list/physics.space-ph/recent;arxiv;;
Quantum Physics;quant-ph;arxiv.quant-ph;http://arxiv.org/list/quant-ph/recent;arxiv;;
